id,title,description,skills,location,type,recruiter_id
22,Data Engineer,Développement de pipelines de données et optimisation des flux,Big Data;Spark;Hadoop;Python,Nice,CDI,
23,Développeur PHP,Développement d'applications web avec PHP et Laravel,PHP;Laravel;MySQL;JavaScript,Paris,Freelance,
24,Infirmier,Soins médicaux pour patients hospitalisés et ambulatoires,Premiers secours;Soins infirmiers;Médicaments,Bordeaux,CDI,
25,Responsable Marketing,Création de campagnes marketing et gestion de marque,SEO;Google Ads;Marketing digital,Paris,CDI,
26,Agent Immobilier,Négociation de contrats de vente et de location immobilière,Prospection;Vente;Relations clients,Nantes,Freelance,
27,Chef Cuisinier,Préparation et supervision des plats dans un restaurant,Gastronomie;Hygiène;Créativité culinaire,Lyon,CDI,
28,Professeur d'Anglais,Enseignement de l'anglais pour élèves et étudiants,Anglais avancé;Pédagogie;Grammaire,Toulouse,CDD,
29,Avocat,Conseil juridique et représentation des clients en justice,Droit pénal;Droit civil;Rédaction juridique,Marseille,CDI,
30,Chargé de Recrutement,Sourcing et sélection des candidats pour divers postes,Recrutement;Entretiens;LinkedIn,Lille,CDD,
31,Journaliste Rédacteur,Rédaction et publication d'articles pour médias numériques,Journalisme;SEO;Rédaction créative,Paris,CDI,
32,Artisan Menuisier,Fabrication et installation de meubles sur mesure,Menuiserie;Bois;Mesures précises,Nice,Freelance,
33,Coach Sportif,Accompagnement des clients dans leurs objectifs de fitness,Entraînement physique;Motivation;Nutrition,Nantes,Freelance,
34,Architecte Bâtiment,Conception et supervision de projets de construction,Autocad;SketchUp;Gestion de chantier,Bordeaux,CDI,
35,Responsable RH,Gestion des ressources humaines et des contrats du personnel,Paie;Droit du travail;Relations sociales,Strasbourg,CDI,
36,Comptable,Gestion des comptes financiers et bilans annuels,Excel;Comptabilité générale;Fiscalité,Paris,CDD,
37,Vendeur,Accueil des clients et vente de produits en magasin,Relation clients;Techniques de vente;Stock,Marseille,CDD,
38,Pharmacien,Préparation et délivrance de médicaments selon prescriptions,Médicaments;Chimie;Relation patients,Toulouse,CDI,
39,Pilote d'Avion,Conduite d'avions commerciaux et gestion des trajets,Aviation;Navigation;Sécurité aérienne,Nice,CDI,
40,Traducteur,Rédaction et traduction de documents multilingues,Langues;Traduction écrite;Cultural awareness,Bordeaux,Freelance,
41,Actuaire,Analyse statistique et modélisation pour assurances,Statistiques;Finance;Matlab,Paris,CDI,
42,Agent de Sécurité,Supervision et sécurisation des espaces publics et privés,Sécurité;Surveillance;Premiers secours,Lyon,CDD,
43,Graphiste,Création de visuels pour supports digitaux et imprimés,Photoshop;Illustrator;Créativité,Nantes,Freelance,
44,Chauffeur-Livreur,Transport et livraison de colis à domicile,Permis B;Organisation;Navigation,Bordeaux,CDD,
45,Biologiste,Recherche et expérimentation en biologie moléculaire,Laboratoire;Recherche scientifique;Biotechnologie,Marseille,CDI,
46,Technicien Réseau,Installation et maintenance des réseaux informatiques,Cisco;TCP/IP;Configuration réseaux,Nice,CDI,
47,Ingénieur Mécanique,Conception et développement de systèmes mécaniques,CATIA;SolidWorks;Thermodynamique,Strasbourg,CDI,
48,Magasinier,Gestion des stocks et réception des marchandises,Organisation;Manutention;Relation clients,Rennes,CDD,
49,Chargé de Communication,Création de contenu et gestion des réseaux sociaux,Communication;Réseaux sociaux;Storytelling,Paris,CDD,
50,Développeur Ruby,Réalisation d'applications web avec Ruby on Rails,Ruby;Rails;PostgreSQL,Nice,CDI,
51,developeur web,"css , javascript",diplom,montreal,CDI,
1,developeur,dev ,dev,montreal,CDI,1.0
2,dev,dev,dev,montreal,CDI,1.0
3,vcbvc,fdgdd,fdsfds,fgdgfd,CDD,1.0
